date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:55:24	23429/23429	---M-Z	200	added ('OK')	text/html	etag:%22ca3819-5b85-53f104f004e40-gzip%22	https://haibach.net/rubytabs/templates/tabs-layout-device.html	/home/mkaanyesillik/Masa%fcst%fc/websites/tabs/haibach.net/rubytabs/templates/tabs-layout-device.html	(from )
21:55:25	327/327	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20Aug%202018%2018:55:23%20GMT	https://haibach.net/robots.txt		(from )
21:55:26	23558/23558	---M--	200	added ('OK')	image/x-icon	etag:%22ca37af-5c06-53efdef4cf780%22	https://haibach.net/rubytabs/libs/imgs/icons/favicon.ico	/home/mkaanyesillik/Masa%fcst%fc/websites/tabs/haibach.net/rubytabs/libs/imgs/icons/favicon.ico	(from https://haibach.net/rubytabs/templates/tabs-layout-device.html)
21:55:28	2827/2827	---M--	200	added ('OK')	image/png	etag:%22ca37b6-b0b-53efdef4cf780%22	https://haibach.net/rubytabs/libs/imgs/icons/icon-highres.png	/home/mkaanyesillik/Masa%fcst%fc/websites/tabs/haibach.net/rubytabs/libs/imgs/icons/icon-highres.png	(from https://haibach.net/rubytabs/templates/tabs-layout-device.html)
21:55:28	1973/1973	---M--	200	added ('OK')	image/png	etag:%22ca37ba-7b5-53efdef4cf780%22	https://haibach.net/rubytabs/libs/imgs/icons/touch-icon-iphone-retina.png	/home/mkaanyesillik/Masa%fcst%fc/websites/tabs/haibach.net/rubytabs/libs/imgs/icons/touch-icon-iphone-retina.png	(from https://haibach.net/rubytabs/templates/tabs-layout-device.html)
21:55:29	2309/2309	---M--	200	added ('OK')	image/png	etag:%22ca37b8-905-53efdef4cf780%22	https://haibach.net/rubytabs/libs/imgs/icons/touch-icon-ipad-retina.png	/home/mkaanyesillik/Masa%fcst%fc/websites/tabs/haibach.net/rubytabs/libs/imgs/icons/touch-icon-ipad-retina.png	(from https://haibach.net/rubytabs/templates/tabs-layout-device.html)
21:55:30	2529/2529	---M--	200	added ('OK')	image/png	etag:%22ca37b7-9e1-53efdef4cf780%22	https://haibach.net/rubytabs/libs/imgs/icons/touch-icon-ipad-pro.png	/home/mkaanyesillik/Masa%fcst%fc/websites/tabs/haibach.net/rubytabs/libs/imgs/icons/touch-icon-ipad-pro.png	(from https://haibach.net/rubytabs/templates/tabs-layout-device.html)
21:55:31	2718/2718	---M--	200	added ('OK')	image/png	etag:%22ca37b9-a9e-53efdef4cf780%22	https://haibach.net/rubytabs/libs/imgs/icons/touch-icon-iphone-6-plus.png	/home/mkaanyesillik/Masa%fcst%fc/websites/tabs/haibach.net/rubytabs/libs/imgs/icons/touch-icon-iphone-6-plus.png	(from https://haibach.net/rubytabs/templates/tabs-layout-device.html)
21:55:34	89791/89791	---M--	200	added ('OK')	text/css	etag:%22ca3791-15ebf-53efdef3db540%22	https://haibach.net/rubytabs/libs/css/ruby00.css	/home/mkaanyesillik/Masa%fcst%fc/websites/tabs/haibach.net/rubytabs/libs/css/ruby00.css	(from https://haibach.net/rubytabs/templates/tabs-layout-device.html)
21:55:35	7155/7155	---M--	200	added ('OK')	text/css	etag:%22ca3796-1bf3-53efdef3db540%22	https://haibach.net/rubytabs/libs/css/ruby01.css	/home/mkaanyesillik/Masa%fcst%fc/websites/tabs/haibach.net/rubytabs/libs/css/ruby01.css	(from https://haibach.net/rubytabs/templates/tabs-layout-device.html)
